Solution 1:
Total Switches: 1214
Boundary Edges (1789):
  ngx_write_chain_to_file:302 -> ngx_write_file:195, Weight: 0, Domains: 0 -> 1
  ngx_single_process_cycle:307 -> ngx_master_process_exit:687, Weight: 0, Domains: 0 -> 1
  ngx_single_process_cycle:293 -> ngx_set_environment:513, Weight: 0, Domains: 0 -> 1
  ngx_signal_process:1035 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_signal_process:1027 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_signal_process:1015 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_ssl_get_client_v_start:4603 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_signal_handler:324 -> ngx_signal_handler:326, Weight: 1, Domains: 0 -> 1
  ngx_tcp_connect:4591 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_set_user:1218 -> ngx_conf_log_error:995, Weight: 0, Domains: 0 -> 1
  ngx_set_user:1204 -> ngx_conf_log_error:995, Weight: 0, Domains: 0 -> 1
  ngx_set_inherited_sockets:155 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_set_inherited_sockets:155 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_set_inherited_sockets:155 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_set_inherited_sockets:155 -> ngx_sock_ntop:184, Weight: 0, Domains: 0 -> 1
  ngx_set_env:1252 -> ngx_array_push:50, Weight: 0, Domains: 0 -> 1
  ngx_udp_rbtree_insert_value:469 -> ngx_cmp_sockaddr:1366, Weight: 0, Domains: 0 -> 1
  ngx_save_argv:890 -> ngx_alloc:20, Weight: 0, Domains: 0 -> 1
  ngx_save_argv:890 -> ngx_cpystrn:51, Weight: 0, Domains: 0 -> 1
  ngx_save_argv:885 -> ngx_alloc:20, Weight: 0, Domains: 0 -> 1
  ngx_rwlock_wlock:24 -> ngx_debug_point:614, Weight: 0, Domains: 0 -> 1
  ngx_resolver_tcp_write:1625 -> ngx_close_connection:1177, Weight: 0, Domains: 0 -> 1
  ngx_resolver_tcp_read:1694 -> ngx_close_connection:1177, Weight: 0, Domains: 0 -> 1
  ngx_resolver_send_udp_query:1316 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_resolver_resend:1498 -> ngx_resolver_free_node:4054, Weight: 0, Domains: 0 -> 1
  ngx_resolver_resend:1498 -> ngx_rbtree_delete:159, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2903 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2835 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2746 -> ngx_sort:1989, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2746 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2623 -> ngx_rbtree_delete:159, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2623 -> ngx_resolver_free_node:4054, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2567 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2567 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_response:1858 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_response:1815 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_response:1735 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_ptr:3343 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_ptr:3214 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_ptr:3188 -> ngx_rbtree_delete:159, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_ptr:3188 -> ngx_resolver_free_node:4054, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_ptr:3174 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_ptr:3174 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_ptr:3098 -> ngx_strcasecmp:589, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_a:2518 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_a:2510 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_a:2441 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_a:1974 -> ngx_rbtree_delete:159, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_a:1974 -> ngx_resolver_free_node:4054, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_a:1972 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_a:1925 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_a:1925 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_resolver_lookup_srv:3418 -> ngx_memn2cmp:824, Weight: 0, Domains: 0 -> 1
  ngx_signal_process:1033 -> ngx_read_file:33, Weight: 0, Domains: 0 -> 1
  ngx_resolver_export:4186 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolver_expire:1226 -> ngx_resolver_free_node:4054, Weight: 0, Domains: 0 -> 1
  ngx_resolver_expire:1226 -> ngx_rbtree_delete:159, Weight: 0, Domains: 0 -> 1
  ngx_ssl_handle_recv:2021 -> ngx_ssl_connection_error:2549, Weight: 0, Domains: 0 -> 1
  ngx_resolver_create:154 -> ngx_pool_cleanup_add:314, Weight: 1, Domains: 0 -> 1
  ngx_resolver_create:144 -> ngx_pcalloc:300, Weight: 1, Domains: 0 -> 1
  ngx_resolver_alloc:4103 -> ngx_alloc:20, Weight: 0, Domains: 0 -> 1
  ngx_resolve_name_locked:817 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolve_name_locked:817 -> ngx_rbtree_delete:159, Weight: 0, Domains: 0 -> 1
  ngx_ssl_handshake:1458 -> ngx_ssl_connection_error:2549, Weight: 0, Domains: 0 -> 1
  ngx_resolve_name_locked:613 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolve_name_locked:613 -> ngx_resolver_free_locked:4140, Weight: 0, Domains: 0 -> 1
  ngx_resolve_name_locked:613 -> ngx_rbtree_insert:27, Weight: 0, Domains: 0 -> 1
  ngx_resolve_name_locked:594 -> ngx_strlow:23, Weight: 0, Domains: 0 -> 1
  ngx_resolve_name_done:566 -> ngx_resolver_free_locked:4140, Weight: 0, Domains: 0 -> 1
  ngx_resolve_name_done:512 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolve_name:481 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_regex_compile:111 -> ngx_snprintf:137, Weight: 0, Domains: 0 -> 1
  ngx_tcp_connect:4649 -> ngx_close_connection:1177, Weight: 0, Domains: 0 -> 1
  ngx_read_channel:145 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_read_channel:130 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_radix_tree_create:21 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_proxy_protocol_v2_read:324 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_process_options:917 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_pool_delete_file:397 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_pool_delete_file:388 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_pmemalign:263 -> ngx_palloc_small:151, Weight: 0, Domains: 0 -> 1
  ngx_parse_url:690 -> ngx_strncasecmp:615, Weight: 0, Domains: 0 -> 1
  ngx_parse_inet_url:901 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_parse_inet_url:901 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_parse_inet_url:901 -> ngx_pcalloc:300, Weight: 0, Domains: 0 -> 1
  ngx_parse_addr:592 -> ngx_pcalloc:300, Weight: 0, Domains: 0 -> 1
  ngx_output_chain_to_iovec:121 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_output_chain_to_iovec:121 -> ngx_debug_point:614, Weight: 0, Domains: 0 -> 1
  ngx_output_chain_get_buf:468 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2574 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2895 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_output_chain:90 -> ngx_debug_point:614, Weight: 0, Domains: 0 -> 1
  ngx_output_chain:90 -> ngx_chain_update_chains:188, Weight: 0, Domains: 0 -> 1
  ngx_output_chain:90 -> ngx_alloc_chain_link:50, Weight: 0, Domains: 0 -> 1
  ngx_output_chain:90 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_ssl_new_session:3046 -> ngx_slab_alloc_locked:186, Weight: 0, Domains: 0 -> 1
  ngx_os_specific_init:38 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_os_signal_process:636 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_os_init:77 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_openssl_engine:4792 -> ngx_ssl_error:2704, Weight: 0, Domains: 0 -> 1
  ngx_open_file_cleanup:1027 -> ngx_expire_old_cached_files:1098, Weight: 0, Domains: 0 -> 1
  ngx_open_file_cleanup:1024 -> ngx_close_cached_file:1039, Weight: 0, Domains: 0 -> 1
  ngx_open_file_cache_init:76 -> ngx_pool_cleanup_add:314, Weight: 0, Domains: 0 -> 1
  ngx_open_file_cache_init:62 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_open_file_cache_cleanup:135 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_open_file_cache_cleanup:99 -> ngx_close_cached_file:1039, Weight: 0, Domains: 0 -> 1
  ngx_open_file_cache_cleanup:99 -> ngx_rbtree_delete:159, Weight: 0, Domains: 0 -> 1
  ngx_tcp_connect:4632 -> ngx_epoll_del_event:645, Weight: 0, Domains: 0 -> 1
  ngx_master_process_cycle:138 -> ngx_master_process_cycle:140, Weight: 1, Domains: 0 -> 1
  ngx_master_process_cycle:133 -> ngx_start_cache_manager_processes:374, Weight: 1, Domains: 0 -> 1
  ngx_master_process_cycle:114 -> ngx_pnalloc:139, Weight: 1, Domains: 0 -> 1
  ngx_ssl_init:191 -> ngx_ssl_error:2704, Weight: 0, Domains: 0 -> 1
  ngx_lookup_udp_connection:605 -> ngx_cmp_sockaddr:1366, Weight: 0, Domains: 0 -> 1
  ngx_log_set_log:579 -> ngx_conf_open_file:900, Weight: 1, Domains: 0 -> 1
  ngx_log_set_log:579 -> ngx_conf_log_error:995, Weight: 0, Domains: 0 -> 1
  ngx_log_set_log:579 -> ngx_pcalloc:300, Weight: 0, Domains: 0 -> 1
  ngx_log_set_levels:494 -> ngx_conf_log_error:995, Weight: 0, Domains: 0 -> 1
  ngx_log_init:382 -> ngx_log_stderr:261, Weight: 0, Domains: 0 -> 1
  ngx_linux_sendfile_chain:79 -> ngx_debug_point:614, Weight: 0, Domains: 0 -> 1
  ngx_linux_sendfile_chain:79 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_insert_udp_connection:542 -> ngx_pool_cleanup_add:314, Weight: 0, Domains: 0 -> 1
  ngx_insert_udp_connection:524 -> ngx_pcalloc:300, Weight: 0, Domains: 0 -> 1
  ngx_init_signals:290 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_ssl_expire_sessions:3348 -> ngx_slab_free_locked:463, Weight: 0, Domains: 0 -> 1
  ngx_ssl_expire_sessions:3348 -> ngx_rbtree_delete:159, Weight: 0, Domains: 0 -> 1
  ngx_ssl_remove_session:3296 -> ngx_slab_free_locked:463, Weight: 0, Domains: 0 -> 1
  ngx_ssl_remove_session:3296 -> ngx_memn2cmp:824, Weight: 0, Domains: 0 -> 1
  ngx_ssl_remove_session:3296 -> ngx_rbtree_delete:159, Weight: 0, Domains: 0 -> 1
  ngx_http_writer:2716 -> ngx_http_finalize_request:2314, Weight: 0, Domains: 0 -> 1
  ngx_http_writer:2710 -> ngx_http_output_filter:1762, Weight: 0, Domains: 0 -> 1
  ngx_http_writer:2695 -> ngx_handle_write_event:334, Weight: 0, Domains: 0 -> 1
  ngx_http_writer:2695 -> ngx_http_close_request:3440, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:493 -> ngx_http_close_connection:3579, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:492 -> ngx_http_create_request:506, Weight: 1, Domains: 0 -> 1
  ngx_http_wait_request_handler:490 -> ngx_reusable_connection:1268, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:467 -> ngx_http_close_connection:3579, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:458 -> ngx_http_close_connection:3579, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:458 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:453 -> ngx_http_close_connection:3579, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:430 -> ngx_handle_read_event:266, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:430 -> ngx_http_close_connection:3579, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:430 -> ngx_pfree:280, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:430 -> ngx_reusable_connection:1268, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:394 -> ngx_http_close_connection:3579, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:388 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_http_wait_request_handler:388 -> ngx_http_close_connection:3579, Weight: 0, Domains: 0 -> 1
  ngx_pool_run_cleanup_file:348 -> ngx_http_file_cache_loader:2035, Weight: 0, Domains: 0 -> 1
  ngx_resolver_create:213 -> ngx_parse_time:114, Weight: 0, Domains: 0 -> 1
  ngx_resolver_create:213 -> ngx_array_push_n:97, Weight: 0, Domains: 0 -> 1
  ngx_resolver_create:213 -> ngx_conf_log_error:995, Weight: 0, Domains: 0 -> 1
  ngx_http_variables_add_core_vars:2572 -> ngx_pcalloc:300, Weight: 1, Domains: 0 -> 1
  ngx_http_variable_time_local:2333 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_time_iso8601:2309 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_status:1788 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_server_port:1411 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_server_addr:1372 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_server_addr:1368 -> ngx_connection_local_sockaddr:1343, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_sent_content_length:1832 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_sent_content_length:1832 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_request_time:2137 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_request_line:1021 -> ngx_http_variable_request_line:1023, Weight: 1, Domains: 0 -> 1
  ngx_http_variable_request_length:2108 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_a:1918 -> ngx_resolver_free:4131, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_a:1918 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_request_id:2157 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_request_get_size:782 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_remote_user:1678 -> ngx_http_variable_remote_user:1680, Weight: 1, Domains: 0 -> 1
  ngx_http_variable_remote_port:1303 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_realpath_root:1555 -> ngx_http_script_run:491, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_realpath_root:1555 -> ngx_get_full_name:23, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_proxy_protocol_port:1350 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_proxy_protocol_port:1343 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_pid:2269 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_pid:2264 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_msec:2293 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_shared_memory_add:1225 -> ngx_conf_log_error:995, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_headers_internal:900 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_document_root:1509 -> ngx_http_script_run:491, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_document_root:1509 -> ngx_get_full_name:23, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_cookie:1064 -> ngx_http_parse_multi_header_lines:1948, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_content_length:1170 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_content_length:1170 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_connection_requests:2220 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_connection:2199 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_connection:2194 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_bytes_sent:1712 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_body_bytes_sent:1740 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_validate_host:2034 -> ngx_pnalloc:139, Weight: 1, Domains: 0 -> 1
  ngx_http_validate_host:2034 -> ngx_strlow:23, Weight: 1, Domains: 0 -> 1
  ngx_http_valid_referers:480 -> ngx_pcalloc:300, Weight: 0, Domains: 0 -> 1
  ngx_http_valid_referers:480 -> ngx_hash_keys_array_init:660, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_store:2207 -> ngx_http_script_compile:335, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_process_status_line:1202 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_pass:2101 -> ngx_http_script_compile:335, Weight: 0, Domains: 0 -> 1
  ngx_writev:194 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_openssl_engine:4786 -> ngx_ssl_error:2704, Weight: 0, Domains: 0 -> 1
  ngx_http_writer:2686 -> ngx_http_finalize_request:2314, Weight: 0, Domains: 0 -> 1
  ngx_http_writer:2686 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_handler:706 -> ngx_http_read_client_request_body:33, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_handler:639 -> ngx_pcalloc:300, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_eval:769 -> ngx_log_error_core:110, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_eval:732 -> ngx_strncasecmp:615, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_create_request:969 -> ngx_create_temp_buf:15, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_create_request:881 -> ngx_hash_find:15, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_create_request:881 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_create_request:881 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_proxy_protocol_v2_read:329 -> ngx_sock_ntop:184, Weight: 0, Domains: 0 -> 1
  ngx_http_uwsgi_create_loc_conf:1399 -> ngx_pcalloc:300, Weight: 13, Domains: 0 -> 1
  ngx_http_userid_variable:585 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_userid_variable:576 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_userid_set_variable:276 -> ngx_http_userid_create_uid:459, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_request_filename:1621 -> ngx_http_map_uri_to_path:1785, Weight: 0, Domains: 0 -> 1
  ngx_http_userid_expires:780 -> ngx_parse_time:114, Weight: 0, Domains: 0 -> 1
  ngx_udp_unix_recv:22 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_http_valid_referers:496 -> ngx_conf_log_error:995, Weight: 0, Domains: 0 -> 1
