Solution 1:
Total Switches: 907
Boundary Edges (571):
  ngx_writev_file:420 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_epoll_create_conf:1031 -> ngx_palloc:126, Weight: 1, Domains: 0 -> 1
  ngx_http_process_request_headers:1236 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_write_chain_to_temp_file:113 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_signal_process:1035 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_core_type:3115 -> ngx_palloc:126, Weight: 84, Domains: 0 -> 1
  ngx_http_copy_filter_create_conf:349 -> ngx_palloc:126, Weight: 4, Domains: 0 -> 1
  ngx_http_set_etag:1607 -> ngx_sprintf:123, Weight: 1, Domains: 0 -> 1
  ngx_resolver_process_srv:2581 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_header_filter:554 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_worker_process_init:806 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_realpath_root:1583 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_add_header:548 -> ngx_list_push:33, Weight: 0, Domains: 0 -> 1
  ngx_crc32_table_init:117 -> ngx_alloc:20, Weight: 0, Domains: 0 -> 1
  ngx_http_join_exact_locations:970 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_daemon:46 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_close_channel:246 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_upstream_init_zone:158 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_alloc_chain_link:59 -> ngx_palloc:126, Weight: 2, Domains: 0 -> 1
  ngx_http_range_multipart_header:555 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_range_multipart_header:555 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_create_temp_buf:22 -> ngx_palloc:126, Weight: 2, Domains: 0 -> 1
  ngx_pool_cleanup_file:371 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_range_multipart_body:890 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_get_indexed_variable:597 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_do_read_client_request_body:281 -> ngx_udp_unix_send:16, Weight: 0, Domains: 0 -> 1
  ngx_http_do_read_client_request_body:281 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_index_create_loc_conf:392 -> ngx_palloc:126, Weight: 4, Domains: 0 -> 1
  ngx_event_process_init:694 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_array_init:44 -> ngx_palloc:126, Weight: 86, Domains: 0 -> 1
  ngx_http_variable_request_get_size:782 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_hash_init:378 -> ngx_palloc:126, Weight: 4, Domains: 0 -> 1
  ngx_get_full_name:43 -> ngx_pnalloc:139, Weight: 10, Domains: 0 -> 1
  ngx_http_log_write:461 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_core_module_init_conf:1137 -> ngx_pnalloc:139, Weight: 1, Domains: 0 -> 1
  ngx_core_module_init_conf:1137 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_request_get_size:777 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_connection_local_sockaddr:1381 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_connection_local_sockaddr:1381 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_http_server_names:1452 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_core_module_init_conf:1102 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_index_test_dir:316 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_set_content_type:1515 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_tcp_connect:4498 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_create_paths:605 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_calloc:39 -> ngx_alloc:20, Weight: 0, Domains: 0 -> 1
  ngx_sendmsg:313 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_tcp_nodelay:1424 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_delete_pidfile:999 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_subrequest:2247 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_server_addr:1372 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_process_request_line:951 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_write_file:205 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_event_core_init_conf:1312 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_close_accepted_connection:431 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_range_multipart_header:527 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_daemon:32 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_event_core_create_conf:1219 -> ngx_palloc:126, Weight: 1, Domains: 0 -> 1
  ngx_http_variable_request_length:2103 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_set_inherited_sockets:155 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_set_inherited_sockets:155 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_set_inherited_sockets:155 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_http_process_request_header:1845 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_conf_add_dump:143 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_signal_worker_processes:493 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_add_inherited_sockets:498 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_conf_read_token:531 -> ngx_pnalloc:139, Weight: 236, Domains: 0 -> 1
  ngx_conf_read_token:531 -> ngx_read_file:33, Weight: 3, Domains: 0 -> 1
  ngx_http_log_msec:833 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_signal_process:1027 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_range_not_satisfiable:594 -> ngx_list_push:33, Weight: 0, Domains: 0 -> 1
  ngx_unix_recv:68 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_core_module_init_conf:1091 -> ngx_pnalloc:139, Weight: 1, Domains: 0 -> 1
  ngx_http_range_singlepart_header:422 -> ngx_list_push:33, Weight: 0, Domains: 0 -> 1
  ngx_http_add_location:858 -> ngx_palloc:126, Weight: 2, Domains: 0 -> 1
  ngx_add_inherited_sockets:464 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_configure_listening_sockets:724 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_log_set_log:1368 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_exec_new_binary:674 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_proxy_protocol_v2_read:324 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_auth_basic_user:1894 -> ngx_pnalloc:139, Weight: 3, Domains: 0 -> 1
  ngx_cache_manager_process_cycle:1159 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_event_module_init:487 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_signal_process:1048 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_resolver_alloc:4103 -> ngx_alloc:20, Weight: 0, Domains: 0 -> 1
  ngx_epoll_init:329 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_conf_log_error:1001 -> ngx_vslprintf:165, Weight: 0, Domains: 0 -> 1
  ngx_http_set_expires:376 -> ngx_list_push:33, Weight: 0, Domains: 0 -> 1
  ngx_http_time:289 -> ngx_sprintf:123, Weight: 1, Domains: 0 -> 1
  ngx_create_temp_file:192 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_create_temp_file:192 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  main:369 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_trailers_filter:298 -> ngx_list_push:33, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_response:1821 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_create_pidfile:980 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_core_post_access_phase:1143 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_add_inherited_sockets:474 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_finalize_request:2384 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_close_request:3448 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_linux_sendfile_chain:79 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_open_file_cache_init:62 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_conf_log_error:1019 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_conf_parse:330 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_array_push_n:104 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_master_process_cycle:121 -> ngx_cpystrn:51, Weight: 3, Domains: 0 -> 1
  ngx_hash_add_key:882 -> ngx_cpystrn:51, Weight: 0, Domains: 0 -> 1
  ngx_hash_add_key:882 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_open_file_cache_cleanup:129 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_range_multipart_header:540 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_exec_new_binary:723 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_save_argv:885 -> ngx_alloc:20, Weight: 1, Domains: 0 -> 1
  ngx_array_create:17 -> ngx_palloc:126, Weight: 8, Domains: 0 -> 1
  ngx_http_complex_value:87 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_create_pool:23 -> ngx_memalign:54, Weight: 5, Domains: 0 -> 1
  ngx_signal_process:1015 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_chunked_create_trailers:284 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_http_upstream_status_variable:5341 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_accept_log_error:449 -> ngx_snprintf:137, Weight: 0, Domains: 0 -> 1
  ngx_http_range_not_satisfiable:612 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_daemon:51 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_log_script_write:484 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_create_listening:68 -> ngx_pnalloc:139, Weight: 1, Domains: 0 -> 1
  ngx_open_file_wrapper:768 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_event_module_init:477 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_init_connection:305 -> ngx_palloc:126, Weight: 1, Domains: 0 -> 1
  ngx_epoll_done:541 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_epoll_add_event:627 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_srv:2903 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_inet6_ntop:347 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_time_iso8601:2309 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_epoll_process_events:808 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_range_header_filter:253 -> ngx_list_push:33, Weight: 1, Domains: 0 -> 1
  ngx_http_range_multipart_header:498 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_readv_chain:120 -> ngx_connection_error:1457, Weight: 0, Domains: 0 -> 1
  ngx_epoll_test_rdhup:495 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_add_multi_header_lines:583 -> ngx_list_push:33, Weight: 0, Domains: 0 -> 1
  ngx_epoll_test_rdhup:513 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_resolver_process_ptr:3174 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_core_content_phase:1194 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_post_request:2293 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_http_auth_basic_user:1899 -> ngx_decode_base64:1224, Weight: 0, Domains: 0 -> 1
  ngx_epoll_done:532 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_event_process_init:731 -> ngx_alloc:20, Weight: 1, Domains: 0 -> 1
  ngx_resolver_tcp_write:1596 -> ngx_udp_unix_send:16, Weight: 0, Domains: 0 -> 1
  ngx_conf_log_error:1008 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_worker_process_init:894 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_conf_open_file:940 -> ngx_list_push:33, Weight: 2, Domains: 0 -> 1
  ngx_process_get_status:482 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_upstream_response_length_variable:5494 -> ngx_sprintf:123, Weight: 0, Domains: 0 -> 1
  ngx_http_add_addrs6:1857 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_tcp_connect:4535 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_open_file_wrapper:693 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_upstream_init_keepalive_peer:196 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_event_recvmsg:85 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_event_recvmsg:85 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_event_recvmsg:85 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_close_connection:1233 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_core_post_rewrite_phase:1051 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_read_channel:130 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_variable_connection:2194 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_epoll_test_rdhup:470 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_close_channel:250 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_epoll_del_connection:749 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_script_run:519 -> ngx_pnalloc:139, Weight: 0, Domains: 0 -> 1
  ngx_http_add_addrs:1792 -> ngx_palloc:126, Weight: 0, Domains: 0 -> 1
  ngx_http_core_content_phase:1205 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_add_path:534 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_event_init_conf:424 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_hash_init:279 -> ngx_alloc:20, Weight: 4, Domains: 0 -> 1
  ngx_http_add_variable:439 -> ngx_palloc:126, Weight: 72, Domains: 0 -> 1
  ngx_epoll_test_rdhup:484 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_log_flush:743 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_get_connection:1101 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_resolver_send_udp_query:1316 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_set_etag:1601 -> ngx_pnalloc:139, Weight: 1, Domains: 0 -> 1
  ngx_daemon:63 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_http_set_complex_value_slot:226 -> ngx_palloc:126, Weight: 1, Domains: 0 -> 1
  ngx_exec_new_binary:663 -> ngx_alloc:20, Weight: 0, Domains: 0 -> 1
  ngx_create_path:274 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
  ngx_epoll_notify_init:396 -> ngx_log_error_core:108, Weight: 0, Domains: 0 -> 1
